dis,phi,reg_phi
78.975,80.92,82.53611111111111
79.05,73.76,82.53611111111111
79.125,89.65,82.53611111111111
79.2,83.32,82.53611111111111
79.275,78.76,82.53611111111111
79.35,76.69,82.53611111111111
79.425,85.07,82.53611111111111
79.5,93.22,82.53611111111111
79.575,68.34,82.53611111111111
79.65,83.23,83.05538461538463
79.725,88.32,83.05538461538463
79.8,79.63,83.05538461538463
79.875,89.33,83.05538461538463
79.95,84.24,83.05538461538463
80.025,87.38,83.05538461538463
80.1,84.95,83.05538461538463
80.175,77.07,83.05538461538463
80.25,88.29,83.05538461538463
80.325,97.33,83.05538461538463
80.4,70.1,83.05538461538463
80.475,79.15,83.05538461538463
80.55,85.5,83.05538461538463
80.625,92.91,83.05538461538463
80.7,81.43,83.05538461538463
80.775,86.66,83.05538461538463
80.85,91.85,83.05538461538463
80.925,80.03,83.05538461538463
81.0,92.55,83.05538461538463
81.075,78.0,83.05538461538463
81.15,91.2,83.05538461538463
81.225,95.69,83.05538461538463
81.3,74.23,83.05538461538463
81.375,90.24,83.05538461538463
81.45,79.23,83.05538461538463
81.525,81.96,83.05538461538463
81.6,78.83,83.05538461538463
81.675,80.37,83.05538461538463
